Verb,Meaning,URL
адресовать,to address,adresovat_adresovat.htm
активизировать,to activate,aktivizirovat_aktivizirovat.htm
арестовать,to arrest,arestovivat_arestovat.htm
арестовывать,to arrest,arestovivat_arestovat.htm
ассоциировать,to associate,assotsiirovat_assotsiirovat.htm
атаковать,to attack,atakovat_atakovat.htm
бегать,"to run, run about",begat_pobezhat.htm
бежать,"to run, race; start running",bezhat_pobezhat.htm
белеть,"to turn white, grow white; turn pale",belet_pobelet.htm
бить,"to beat, knock, pound, strike",beet_pobeet.htm
благодарить,to thank,blagodarit_poblagodarit.htm
болеть,"to be ill, worry",bolet_zabolet.htm
бояться,"to be afraid, fear",boyatsa_zaboyatsa.htm
брать,to take,brat_vzyat.htm
браться,"to undertake, set about",bratsa_vzyatsa.htm
бросать,to throw,brosat_brosit.htm
бросаться,"to throw oneself, rush",brosatsa_brositsa.htm
бросить,to throw,brosat_brosit.htm
броситься,"to throw oneself, rush",brosatsa_brositsa.htm
бывать,"to be, to visit",bivat_pobivat.htm
быть,"to be, exist, have",bit_pobit.htm
варить,"to boil, cook",varit_svarit.htm
ввести,"to introduce, bring in",vvodit_vvesti.htm
вводить,"to introduce, bring in",vvodit_vvesti.htm
везти,"to tranport, carry",vezti_povezti.htm
вербовать,to recruit,verbovat_zaverbovat.htm
верить,to believe,verit_poverit.htm
вернуть,"to return, give back",vozvraschat_vernut.htm
вести,"to lead, drive",vesti_povesti.htm
вешать,to hang; to suspend,veshat_povesit.htm
взвесить,"to weigh, scale; to think over",vzveshivat_vzvesit.htm
взвешивать,"to weigh, scale; to think over",vzveshivat_vzvesit.htm
взять,to take,brat_vzyat.htm
взяться,"to undertake, set about",bratsa_vzyatsa.htm
видеть,to see,videt_uvidet.htm
видеться,to see each other,videtsa_uvidetsa.htm
винить,"to accuse, blame",vinit_obvinit.htm
висеть,to hang; hang for a time,viset_poviset.htm
вить,"to twist, twine",vit_svit.htm
вкладывать,"to put in, enclose; to invest",vkladivat_vlozhit.htm
включать,"to include, add in; to turn on",vkluchat_vkluchit.htm
включить,"to include, add in; to turn on",vkluchat_vkluchit.htm
владеть,"to own, possess, take possession of",vladet_ovladet.htm
влезать,"to climb, get on, climb up",vlezat_vlezt.htm
влезть,"to climb, get on, climb up",vlezat_vlezt.htm
влиять,"to influence, affect",vliyat_povliyat.htm
вложить,"to put in, enclose; to invest",vkladivat_vlozhit.htm
вмешаться,"to interfere, intervene",vmeshivatsa_vmeshatsa.htm
вмешиваться,"to interfere, intervene",vmeshivatsa_vmeshatsa.htm
внедрить,"to inculcate, implant, introduce",vnedryat_vnedrit.htm
внедрять,"to inculcate, implant, introduce",vnedryat_vnedrit.htm
внести,to bring in; deposit,vnosit_vnesti.htm
вносить,to bring in; deposit,vnosit_vnesti.htm
водить,"to lead, conduct, drive",vodit_povesti.htm
воевать,"to be at war, to fight",voevat_povoevat.htm
возвратиться,to return,vozvraschatsa_vozvratitsa.htm
возвращать,"to return, give back",vozvraschat_vernut.htm
возвращаться,to return,vozvraschatsa_vozvratitsa.htm
возглавить,"to head, lead",vozglavlyat_vozglavit.htm
возглавлять,"to head, lead",vozglavlyat_vozglavit.htm
возить,to carry by vehicle; drive; bring,vozit_povezti.htm
возлагать,"to lay, place; to entrust",vozlagat_vozlozhit.htm
возложить,"to lay, place; to entrust",vozlagat_vozlozhit.htm
возмутить,"to stir up, fill with indignation",vozmuschat_vozmutit.htm
возмутиться,"to be indignant, to rebel",vozmuschatsa_vozmutitsa.htm
возмущать,"to stir up, fill with indignation",vozmuschat_vozmutit.htm
возмущаться,"to be indignant, to rebel",vozmuschatsa_vozmutitsa.htm
возникать,"to arise, appear",voznikat_vozniknut.htm
возникнуть,"to arise, appear",voznikat_vozniknut.htm
возобновить,"to renew, resume, continue",vozobnovlyat_vozobnovit.htm
возобновлять,"to renew, resume, continue",vozobnovlyat_vozobnovit.htm
возражать,"to object, disagree",vozrazhat_vozrazit.htm
возразить,"to object, disagree",vozrazhat_vozrazit.htm
войти,"to enter, come in",vkhodit_voyti.htm
воображать,"to imagine, fancy, envision, dream",voobrazhat_voobrazit.htm
вообразить,"to imagine, fancy, envision, dream",voobrazhat_voobrazit.htm
воскликнуть,to exclaim,vosklitsat_voskliknut.htm
восклицать,to exclaim,vosklitsat_voskliknut.htm
воспитать,"to educate, bring up, nurture",vospitivat_vospitat.htm
воспитывать,"to educate, bring up, nurture",vospitivat_vospitat.htm
восстанавливать,"to reconstruct, rebuild, restore, repair",vosstanavlivat_vosstanovit.htm
восстановить,"to reconstruct, rebuild, restore, repair",vosstanavlivat_vosstanovit.htm
впадать,"to fall, flow, go into; border upon",vpadat_vpast.htm
впасть,"to fall, flow, go into; border upon",vpadat_vpast.htm
вписать,"to write in, fill in",vpisivat_vpisat.htm
вписывать,"to write in, fill in",vpisivat_vpisat.htm
впитать,"to absorb, soak in",vpitivat_vpitat.htm
впитывать,"to absorb, soak in",vpitivat_vpitat.htm
врать,"to lie, tell lies",vrat_sovrat.htm
вредить,"to harm, injure",vredit_povredit.htm
вручать,"to hand in, deliver, give",vruchat_vruchit.htm
вручить,"to hand in, deliver, give",vruchat_vruchit.htm
вскакивать,"to jump, startle",vskakivat_vskochit.htm
вскочить,"to jump, startle",vskakivat_vskochit.htm
вспахать,to plow; work hard,pakhat_vspakhat.htm
вспоминать,"to remember, recall",vspominat_vspomnit.htm
вспомнить,"to remember, recall",vspominat_vspomnit.htm
вставать,"to get up, rise",vstavat_vstat.htm
вставить,"to insert, put in, paste",vstavlyat_vstavit.htm
вставлять,"to insert, put in, paste",vstavlyat_vstavit.htm
встать,"to get up, rise",vstavat_vstat.htm
встретить,to meet,vstrechat_vstretit.htm
встретиться,"to meet, be found",vstrechatsa_vstretitsa.htm
встречать,to meet,vstrechat_vstretit.htm
встречаться,"to meet, be found",vstrechatsa_vstretitsa.htm
вступать,"to enter, join",vstupat_vstupit.htm
вступить,"to enter, join",vstupat_vstupit.htm
входить,"to enter, come in",vkhodit_voyti.htm
выбирать,"to choose, select",vibirat_vibrat.htm
выбрасывать,to throw away,vibrasivat_vibrosit.htm
выбрать,"to choose, select",vibirat_vibrat.htm
выбросить,to throw away,vibrasivat_vibrosit.htm
выделить,"to pick out, mark out; to secrete, extract",videlyat_videlit.htm
выделять,"to pick out, mark out; to secrete, extract",videlyat_videlit.htm
выдержать,"to bear, stand, endure",viderzhivat_viderzhat.htm
выдерживать,"to bear, stand, endure",viderzhivat_viderzhat.htm
выдумать,"to make up, dream up, invent",vidumivat_vidumat.htm
выдумывать,"to make up, dream up, invent",vidumivat_vidumat.htm
вызвать,"to call, send",vizivat_vizvat.htm
вызывать,"to call, send",vizivat_vizvat.htm
выиграть,"to win, gain, score",viigrivat_viigrat.htm
выигрывать,"to win, gain, score",viigrivat_viigrat.htm
выйти,"to go out, leave",vikhodit_viyti.htm
вылетать,"to fly out, take off; to be fired",viletat_viletet.htm
вылететь,"to fly out, take off; to be fired",viletat_viletet.htm
выливать,"to pour out, empty",vilivat_vilit.htm
вылить,"to pour out, empty",vilivat_vilit.htm
вынести,"to carry out, take out",vinosit_vinesti.htm
вынимать,"to take out, extract",vinimat_vinut.htm
выносить,"to carry out, take out",vinosit_vinesti.htm
вынуть,"to take out, extract",vinimat_vinut.htm
выпивать,to drink,vipivat_vipit.htm
выписать,to write out; to copy; to extract,vipisivat_vipisat.htm
выписывать,to write out; to copy; to extract,vipisivat_vipisat.htm
выпить,to drink,vipivat_vipit.htm
выпить,to drink,pit_vipit.htm
выполнить,"to fulfill, carry out",vipolnyat_vipolnit.htm
выполнять,"to fulfill, carry out",vipolnyat_vipolnit.htm
выпускать,"to let out, discharge",vipuskat_vipustit.htm
выпустить,"to let out, discharge",vipuskat_vipustit.htm
вырабатывать,to produce; to work out; to form,virabativat_virabotat.htm
выработать,to produce; to work out; to form,virabativat_virabotat.htm
выражать,"to express, convey",virazhat_virazit.htm
выразить,"to express, convey",virazhat_virazit.htm
вырастать,"to grow, grow up",virastat_virasti.htm
вырасти,"to grow, grow up",virastat_virasti.htm
вырастить,"to grow, raise, bring up",viraschivat_virastit.htm
выращивать,"to grow, raise, bring up",viraschivat_virastit.htm
вырезать,"to cut out, carve, cut out",virezat_virezat.htm
высечь,"to whip, flog",sech_visech.htm
высказать,"to state, say, tell",viskazivat_viskazat.htm
высказывать,"to state, say, tell",viskazivat_viskazat.htm
выступать,"to stand out; to speak, perform; to protrude",vistupat_vistupit.htm
выступить,"to stand out; to speak, perform; to protrude",vistupat_vistupit.htm
вытаскивать,"to take out, extract",vitaskivat_vitaschit.htm
вытащить,"to take out, extract",vitaskivat_vitaschit.htm
вытащить,"to pull, drag",taschit_vitaschit.htm
вытекать,to flow out; to result,vitekat_vitech.htm
вытереть,"to wipe out, wipe away",vitirat_viteret.htm
вытечь,to flow out; to result,vitekat_vitech.htm
вытирать,"to wipe out, wipe away",vitirat_viteret.htm
выходить,"to go out, leave",vikhodit_viyti.htm
вычёркивать,"to cross out, edit out, delete",vichyorkivat_vicherknut.htm
вычеркнуть,"to cross out, edit out, delete",vichyorkivat_vicherknut.htm
вышивать,to embroider,vishivat_vishit.htm
вышить,to embroider,vishivat_vishit.htm
выяснить,"to find out, explore",viyasnyat_viyasnit.htm
выяснять,"to find out, explore",viyasnyat_viyasnit.htm
вязать,to knit,vyazat_svyazat.htm
гасить,"to put out, extinguish",gasit_pogasit.htm
глотать,to swallow,glotat_glotnut.htm
глотнуть,to swallow,glotat_glotnut.htm
глядеть,"to look, gaze",glyadet_poglyadet.htm
говорить,"to say, tell",govorit_skazat.htm
говорить,"to say, to tell",govorit_pogovorit.htm
гонять,"to drive , drive away",gonyat_pognat.htm
гореть,to burn,goret_sgoret.htm
готовить,"to prepare, train",gotovit_prigotovit.htm
греть,"to warm, heat, warm up",gret_sogret.htm
гулять,"to walk, stroll; to enjoy oneself",gulyat_pogulyat.htm
давать,to give,davat_dat.htm
дарить,to give as a present,darit_podarit.htm
дать,to give,davat_dat.htm
двигать,to move,dvigat_dvinut.htm
двигаться,to move,dvigatsa_dvinutsa.htm
двинуть,to move,dvigat_dvinut.htm
двинуться,to move,dvigatsa_dvinutsa.htm
делать,"to do, make",delat_sdelat.htm
делаться,"to become, get",delatsa_sdelatsa.htm
делить,"to divide, separate",delit_razdelit.htm
держать,"to hold, keep",derzhat_poderzhat.htm
добавить,to add,dobavlyat_dobavit.htm
добавлять,to add,dobavlyat_dobavit.htm
добивать,"to kill, finish off",dobivat_dobit.htm
добираться,"to arrive, reach",dobiratsa_dobratsa.htm
добить,"to kill, finish off",dobivat_dobit.htm
добраться,"to arrive, reach",dobiratsa_dobratsa.htm
доверить,to trust,doveryat_doverit.htm
доверять,to trust,doveryat_doverit.htm
довести,"to lead, accompany",dovodit_dovesti.htm
доводить,"to lead, accompany",dovodit_dovesti.htm
догадаться,to guess,dogadivatsa_dogadatsa.htm
догадываться,to guess,dogadivatsa_dogadatsa.htm
дождаться,"to wait, await",dozhidatsa_dozhdatsa.htm
доживать,to live so long; to be living (the rest of one's days),dozhivat_dozhit.htm
дожидаться,"to wait, await",dozhidatsa_dozhdatsa.htm
дожить,to live so long; to be living (the rest of one's days),dozhivat_dozhit.htm
докладывать,to report,dokladivat_dolozhit.htm
доложить,to report,dokladivat_dolozhit.htm
донести,"to report, inform",donosit_donesti.htm
доносить,"to report, inform",donosit_donesti.htm
допрашивать,"to interrogate, question, examine",doprashivat_doprosit.htm
допросить,"to interrogate, question, examine",doprashivat_doprosit.htm
допускать,"to allow, permit",dopuskat_dopustit.htm
допустить,"to allow, permit",dopuskat_dopustit.htm
дорабатывать,"to complete, finish off, refine",dorabativat_dorabotat.htm
доработать,"to complete, finish off, refine",dorabativat_dorabotat.htm
доставать,"to reach, get, obtain",dostavat_dostat.htm
достать,"to reach, get, obtain",dostavat_dostat.htm
достигать,"to reach; to obtain; to achieve, attain",dostigat_dostignut.htm
достигнуть,"to reach; to obtain; to achieve, attain",dostigat_dostignut.htm
драться,to fight,dratsa_podratsa.htm
дружить,"to be friends, make friends",druzhit_podruzhitsa.htm
думать,to think,dumat_podumat.htm
есть,to eat,est_sest.htm
ехать,to go by transportation,ekhat_poekhat.htm
жалеть,"to pity, take pity, be sorry",zhalet_pozhalet.htm
жать,"to press, squeeze",zhat_pozhat.htm
ждать,to wait,zhdat_podozhdat.htm
желать,to wish,zhelat_pozhelat.htm
жениться,to marry,zhenitsa_pozhenitsa.htm
жечь,to burn,zhech_szhech.htm
жить,to live,zhit_pozhit.htm
забегать,"to run; to call, drop in",zabegat_zabezhat.htm
забежать,"to run; to call, drop in",zabegat_zabezhat.htm
забирать,"to take away, seize",zabirat_zabrat.htm
забираться,"to climb, get",zabiratsa_zabratsa.htm
заболеть,"to be ill, worry",bolet_zabolet.htm
забояться,"to be afraid, fear",boyatsa_zaboyatsa.htm
забрасывать,"to neglect; to cast away; to fill up, cover",zabrasivat_zabrosit.htm
забрать,"to take away, seize",zabirat_zabrat.htm
забраться,"to climb, get",zabiratsa_zabratsa.htm
забросить,"to neglect; to cast away; to fill up, cover",zabrasivat_zabrosit.htm
забывать,to forget,zabivat_zabit.htm
забыть,to forget,zabivat_zabit.htm
завербовать,to recruit,verbovat_zaverbovat.htm
завернуть,"to turn; to roll up, wrap",zavorachivat_zavernut.htm
завершать,"to complete, finish, accomplish",zavershat_zavershit.htm
завершить,"to complete, finish, accomplish",zavershat_zavershit.htm
завоевать,"to conquer, gain",zavoyovivat_zavoevat.htm
завоёвывать,"to conquer, gain",zavoyovivat_zavoevat.htm
заворачивать,"to turn; to roll up, wrap",zavorachivat_zavernut.htm
завтракать,to have breakfast,zavtrakat_pozavtrakat.htm
завязать,to tie up; to fasten up; to start,zavyazivat_zavyazat.htm
завязывать,to tie up; to fasten up; to start,zavyazivat_zavyazat.htm
заглядывать,"to peep in, glance",zaglyadivat_zaglyanut.htm
заглянуть,"to peep in, glance",zaglyadivat_zaglyanut.htm
заговаривать,to begin to speak,zagovarivat_zagovorit.htm
заговорить,to begin to speak,zagovarivat_zagovorit.htm
задавать,"to give, set",zadavat_zadat.htm
задать,"to give, set",zadavat_zadat.htm
задержать,delay,zaderzhivat_zaderzhat.htm
задерживать,delay,zaderzhivat_zaderzhat.htm
зажечь,"to ignite, set afire, light up",zazhigat_zazhech.htm
зажигать,"to ignite, set afire, light up",zazhigat_zazhech.htm
зайти,"to call in, drop in",zakhodit_zayti.htm
заканчивать,"to end, finish, complete",zakanchivat_zakonchit.htm
заключать,to conclude; to enclose; to lock up,zakluchat_zakluchit.htm
заключить,to conclude; to enclose; to lock up,zakluchat_zakluchit.htm
закончить,"to end, finish, complete",zakanchivat_zakonchit.htm
закричать,"to cry, shout",krichat_zakrichat.htm
